caseid,StudyID,year,study,es,se,yearsafter,impactfactor,citationindex,Dynamic,Innovative industry,Industry,Study,Journals,Firm 1,Firm 2
1,EU1,2005,"Kemp, Kersten and Severijnen (2012)",1.57,0.609708738,1,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Hilversum,Ziekenhuis Gooi-Noord
1,EU1,2005,"Kemp, Kersten and Severijnen (2012)",4.52,1.755339806,2,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Hilversum,Ziekenhuis Gooi-Noord
1,EU1,2005,"Kemp, Kersten and Severijnen (2012)",2.6,1.168119675,3,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Hilversum,Ziekenhuis Gooi-Noord
1,EU1,2005,"Kemp, Kersten and Severijnen (2012)",2.5,1.397633521,4,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Hilversum,Ziekenhuis Gooi-Noord
1,EU1,2005,"Kemp, Kersten and Severijnen (2012)",4.9,1.902912621,5,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Hilversum,Ziekenhuis Gooi-Noord
1,EU1,2005,"Kemp, Kersten and Severijnen (2012)",2.43,0.94368932,1,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Hilversum,Ziekenhuis Gooi-Noord
1,EU1,2005,"Kemp, Kersten and Severijnen (2012)",6,2.330097087,2,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Hilversum,Ziekenhuis Gooi-Noord
1,EU1,2005,"Kemp, Kersten and Severijnen (2012)",4.08,1.584466019,3,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Hilversum,Ziekenhuis Gooi-Noord
1,EU1,2005,"Kemp, Kersten and Severijnen (2012)",3.6,1.398058252,4,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Hilversum,Ziekenhuis Gooi-Noord
1,EU1,2005,"Kemp, Kersten and Severijnen (2012)",6.06,2.353398058,5,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Hilversum,Ziekenhuis Gooi-Noord
2,EU1,2005,"Kemp, Kersten and Severijnen (2012)",-3.19,1.238834951,1,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Erasmus MC ziekenhuis,Havenziekenhuis Rotterdam
2,EU1,2005,"Kemp, Kersten and Severijnen (2012)",-0.48,0.43768997,2,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Erasmus MC ziekenhuis,Havenziekenhuis Rotterdam
2,EU1,2005,"Kemp, Kersten and Severijnen (2012)",4.63,1.798058252,3,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Erasmus MC ziekenhuis,Havenziekenhuis Rotterdam
